id_municipio,risco_observado,risco_previsto,codigo_uf,regiao,meta_alfabetizacao_2025,taxa_alfabetizacao_anterior,n_estudantes_teste,taxa_alfabetizacao_prevista,risco_ic95_inferior,risco_ic95_superior,deficit_para_meta_pp,amostra_suficiente,nome_municipio
2924405,0.775,0.7961608135992441,29,Nordeste,39.38,23.9,40,20.383918640075592,0.6713160551599329,0.9210055720385553,18.99608135992441,True,Pilão Arcado
2404705,0.1,0.7928682205807414,24,Nordeste,28.51,13.69,10,20.713177941925863,0.541691176692519,1.0,7.796822058074138,False,Ipanguaçu
4306932,1.0,0.7903777783058223,43,Sul,56.56,28.49,2,20.962222169417764,0.22625050839259764,1.0,35.59777783058224,False,Entre-Ijuís
2926103,0.6923076923076923,0.7898469973565578,29,Nordeste,33.98,18.48,13,21.015300264344216,0.5683725224350575,1.0,12.964699735655781,False,Retirolândia
2900306,0.3,0.7890677258468515,29,Nordeste,35.26,19.7,10,21.093227415314853,0.5362050502154093,1.0,14.166772584685145,False,Acajutiba
2901908,0.8148148148148148,0.788964311401121,29,Nordeste,33.23,17.78,27,21.1035688598879,0.6350493557984263,0.9428792670038157,12.126431140112096,False,Aporá
2911105,0.6153846153846154,0.7889424023955213,29,Nordeste,35.22,19.66,26,21.105759760447874,0.6320895063484839,0.9457952984425586,14.114240239552124,False,Formosa do Rio Preto
2913101,0.5,0.7867391064394139,29,Nordeste,41.4,26.1,6,21.32608935605861,0.4589825202165192,1.0,20.07391064394139,False,Ibititá
2404002,1.0,0.7863805840639208,24,Nordeste,35.57,20.0,1,21.361941593607924,0.0,1.0,14.208058406392077,False,Frutuoso Gomes
2914901,0.5454545454545454,0.7850545185977893,29,Nordeste,46.71,32.32,22,21.49454814022107,0.6133985931176305,0.9567104440779481,25.21545185977893,False,Itacaré
2411205,0.5526315789473685,0.7837160702926632,24,Nordeste,36.93,21.35,38,21.628392970733678,0.6528112089475409,0.9146209316377856,15.301607029266322,True,Santa Cruz
2928000,0.7142857142857143,0.7816824227923407,29,Nordeste,40.48,25.08,21,21.831757720765932,0.6049948728025516,0.9583699727821298,18.648242279234065,False,Santaluz
2911204,0.47619047619047616,0.7816589793845216,29,Nordeste,47.47,33.26,21,21.834102061547846,0.6049645927830227,0.9583533659860204,25.635897938452153,False,Gandu
2926004,0.5277777777777778,0.7787108567218097,29,Nordeste,40.5,25.1,36,22.128914327819025,0.6431067040015084,0.9143150094421111,18.371085672180975,True,Remanso
4311759,0.5,0.778580737079027,43,Sul,43.57,28.57,2,22.141926292097303,0.20314000317059533,1.0,21.428073707902698,False,Manoel Viana
2908903,0.8888888888888888,0.773039985018044,29,Nordeste,45.58,30.95,18,22.696001498195596,0.5795335225450099,0.9665464474910782,22.883998501804403,False,Coração de Maria
2907103,0.6829268292682927,0.7727197422917084,29,Nordeste,43.56,28.55,41,22.728025770829163,0.6444406129303013,0.9009988716531154,20.83197422917084,True,Carinhanha
3551405,0.5714285714285714,0.7695496994698091,35,Sudeste,39.42,23.94,7,23.04503005301909,0.45757884156440204,1.0,16.37496994698091,False,Serra Azul
1715705,0.5,0.7690664801041848,17,Norte,22.17,9.01,8,23.093351989581524,0.4770304023631937,1.0,-0.9233519895815228,False,Palmeirante
2932309,0.6153846153846154,0.7688287981338464,29,Nordeste,45.98,31.43,13,23.11712018661536,0.5396544092888362,0.9980031869788566,22.862879813384637,False,Ubatã
2903805,0.75,0.7666314226010446,29,Nordeste,47.58,33.4,12,23.336857739895546,0.527310898215674,1.0,24.243142260104452,False,Boa Vista do Tupim
2929404,0.375,0.7635547936183633,29,Nordeste,43.74,28.76,8,23.64452063816367,0.46911504470642124,1.0,20.095479361836333,False,São Miguel das Matas
2915304,0.625,0.7629649719206126,29,Nordeste,47.11,32.81,8,23.703502807938737,0.468272092493151,1.0,23.406497192061263,False,Itagimirim
2407104,0.7068965517241379,0.7621808374229887,24,Nordeste,44.07,29.15,58,23.78191625770113,0.6526101187595742,0.8717515560864032,20.28808374229887,True,Macaíba
2912400,0.3684210526315789,0.7611340978005665,29,Nordeste,44.62,29.8,19,23.88659021994335,0.5694054808000423,0.9528627148010907,20.733409780056647,False,Ibipeba
2922854,1.0,0.760420706077081,29,Nordeste,46.37,31.91,1,23.9579293922919,0.0,1.0,22.4120706077081,False,Nova Redenção
2917003,0.8571428571428571,0.7594891472656761,29,Nordeste,42.9,27.79,28,24.051085273432392,0.601180302053784,0.9177979924775681,18.848914726567607,False,Itiúba
2929305,0.9166666666666666,0.7587041974129723,29,Nordeste,49.94,36.4,12,24.129580258702767,0.5166143507536726,1.0,25.81041974129723,False,São Gonçalo dos Campos
1301407,0.7647058823529411,0.7579595597933761,13,Norte,,19.19,17,24.204044020662387,0.5543497983048776,0.9615693212818747,,False,Eirunepé
1501204,0.6551724137931034,0.7567593212320693,15,Norte,42.66,27.52,29,24.324067876793066,0.6006049790232223,0.9129136634409164,18.33593212320693,False,Baião
2915353,0.6666666666666666,0.7541909174382463,29,Nordeste,36.47,20.89,12,24.58090825617537,0.5105753369408683,0.9978064979356243,11.889091743824629,False,Itaguaçu da Bahia
2514602,1.0,0.7528006104295865,25,Nordeste,26.33,11.97,2,24.719938957041354,0.15493337758885295,1.0,1.6100610429586446,False,São José do Bonfim
2902609,0.3333333333333333,0.752174741476762,29,Nordeste,49.85,36.29,6,24.7825258523238,0.40670294144036,1.0,25.0674741476762,False,Baixa Grande
2906402,1.0,0.7516092450918893,29,Nordeste,45.56,30.92,8,24.83907549081107,0.4521933525711084,1.0,20.720924509188933,False,Candeal
2415008,0.7142857142857143,0.7497986050459112,24,Nordeste,34.93,19.38,7,25.020139495408877,0.4289322146026089,1.0,9.909860504591123,False,Vila Flor
2920007,0.7142857142857143,0.7485185786544691,29,Nordeste,44.65,29.83,7,25.148142134553087,0.42710716377366087,1.0,19.50185786544691,False,Maiquinique
2407302,1.0,0.7473179421085617,24,Nordeste,42.12,26.9,1,25.268205789143828,0.0,1.0,16.85179421085617,False,Marcelino Vieira
2925501,0.8387096774193549,0.746686536854586,29,Nordeste,48.75,34.88,31,25.331346314541403,0.5935871254508515,0.8997859482583205,23.418653685458597,True,Prado
1303536,0.6170212765957447,0.7466534458232196,13,Norte,48.19,34.17,47,25.334655417678043,0.6223096330390407,0.8709972586073984,22.855344582321955,True,Presidente Figueiredo
