id_municipio,taxa_alfabetizacao_anterior,media_portugues_anterior,percentual_participacao_anterior,total_alunos_avaliados_anterior,populacao_anterior,pib_per_capita_anterior,meta_alfabetizacao_2025,cluster,silhouette_global
2403608,48.0,734.4663,72.48,503.0,61635.0,16005.646142613774,58.39,1,0.33899545632891714
2403707,54.36,745.061,95.65,44.0,6259.0,48316.50423390318,62.74,1,0.33899545632891714
2403756,32.84,712.0371,86.67,39.0,2938.0,21100.74880871341,47.13,1,0.33899545632891714
2403905,45.0,745.2057,86.96,20.0,2700.0,15770.37037037037,56.29,1,0.33899545632891714
2404002,20.0,693.5704,86.96,20.0,4122.0,14311.984473556526,35.57,1,0.33899545632891714
2404101,38.33,728.876,88.24,30.0,2104.0,78741.44486692015,51.41,1,0.33899545632891714
2404200,22.54,708.402,80.04,417.0,26741.0,24171.983097116787,38.09,1,0.33899545632891714
2404309,57.85,743.4689,93.9,77.0,11932.0,49936.47334897754,65.07,0,0.33899545632891714
2404408,40.43,736.4214,87.72,50.0,9924.0,18734.482063684,52.98,1,0.33899545632891714
2404507,52.35,740.3261,,153.0,15295.0,168808.23798627002,50.03,1,0.33899545632891714
2404606,41.28,737.2126,76.28,119.0,11615.0,14546.19027120103,53.6,1,0.33899545632891714
2404705,13.69,698.7556,84.67,116.0,14131.0,18669.94550987191,28.51,1,0.33899545632891714
2404804,50.0,742.0663,,20.0,2035.0,20967.567567567567,,1,0.33899545632891714
2404853,56.95,742.3367,80.0,72.0,7292.0,24682.940208447613,64.47,1,0.33899545632891714
2404903,52.94,737.1386,94.44,34.0,5320.0,17100.751879699248,61.78,1,0.33899545632891714
2405009,47.01,736.3101,93.26,83.0,7834.0,12847.076844523868,57.7,1,0.33899545632891714
2405108,30.43,719.1709,93.9,77.0,6562.0,55417.250838159096,45.15,1,0.33899545632891714
2405207,23.48,707.015,79.17,38.0,4746.0,22084.2815002107,38.99,1,0.33899545632891714
2405306,45.53,735.6139,,55.0,8591.0,11980.444651379352,,1,0.33899545632891714
2405405,15.32,689.2655,87.88,58.0,5117.0,13519.054133281219,30.47,1,0.33899545632891714
2405504,16.62,694.866,71.43,25.0,2437.0,28428.39556832171,31.95,1,0.33899545632891714
2405603,30.4,716.6501,85.34,99.0,13977.0,19758.245689346782,45.13,1,0.33899545632891714
2405702,26.75,716.8062,93.65,59.0,11655.0,20992.10639210639,41.98,1,0.33899545632891714
2405801,22.55,705.2449,74.84,238.0,33290.0,45870.291378792426,38.1,1,0.33899545632891714
2405900,46.15,733.148,76.47,13.0,2076.0,16281.31021194605,57.1,1,0.33899545632891714
2406007,28.68,709.6607,,24.0,5803.0,15216.612097191108,55.7,1,0.33899545632891714
2406106,27.56,720.1453,82.73,115.0,17793.0,24884.224133086045,42.7,1,0.33899545632891714
2406155,54.55,729.6926,,11.0,3739.0,12648.03423375234,41.43,1,0.33899545632891714
2406205,13.11,694.4313,,27.0,6513.0,13817.902656226008,19.26,1,0.33899545632891714
2406304,47.72,732.917,79.03,49.0,7338.0,13768.056691196512,58.2,1,0.33899545632891714
2406403,41.67,729.4784,92.31,24.0,2567.0,19066.61472536034,53.89,1,0.33899545632891714
2406502,34.74,724.1413,92.04,208.0,15573.0,20940.538110832847,48.64,1,0.33899545632891714
2406601,22.82,712.9238,75.68,56.0,8319.0,14963.69755980286,38.36,1,0.33899545632891714
2406700,29.12,719.0367,82.79,101.0,9866.0,64126.29231704844,44.05,1,0.33899545632891714
